PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
Bytes,IP,ICMP Seq,TTL,Time
64,10.0.0.1,663,128,0.301
64,10.0.0.1,664,128,0.307
64,10.0.0.1,665,128,0.307
64,10.0.0.1,666,128,0.318
64,10.0.0.1,667,128,2.52
64,10.0.0.1,668,128,0.333
64,10.0.0.1,669,128,2.33
64,10.0.0.1,670,128,0.332
64,10.0.0.1,671,128,2.29
64,10.0.0.1,672,128,0.362
64,10.0.0.1,673,128,0.314
64,10.0.0.1,674,128,0.322
64,10.0.0.1,675,128,0.342
64,10.0.0.1,676,128,1.83
64,10.0.0.1,677,128,0.339
64,10.0.0.1,678,128,1.79
64,10.0.0.1,679,128,0.335
64,10.0.0.1,680,128,1.66
64,10.0.0.1,681,128,0.337
64,10.0.0.1,682,128,1.54
64,10.0.0.1,683,128,0.357
64,10.0.0.1,684,128,1.33
64,10.0.0.1,685,128,0.347
64,10.0.0.1,686,128,1.26
64,10.0.0.1,687,128,0.334
64,10.0.0.1,688,128,1.12
64,10.0.0.1,689,128,0.329
64,10.0.0.1,690,128,1.02
64,10.0.0.1,691,128,0.350
64,10.0.0.1,692,128,0.898
64,10.0.0.1,693,128,0.327
64,10.0.0.1,694,128,0.335
64,10.0.0.1,695,128,0.674
64,10.0.0.1,696,128,0.326
64,10.0.0.1,697,128,0.325
64,10.0.0.1,698,128,0.486
64,10.0.0.1,699,128,0.354
64,10.0.0.1,700,128,0.330
64,10.0.0.1,701,128,0.356
64,10.0.0.1,702,128,0.351
64,10.0.0.1,703,128,0.311
64,10.0.0.1,704,128,0.338
64,10.0.0.1,705,128,0.356
64,10.0.0.1,706,128,0.309
64,10.0.0.1,707,128,0.350
64,10.0.0.1,708,128,0.349
64,10.0.0.1,709,128,0.351
64,10.0.0.1,710,128,0.338
64,10.0.0.1,711,128,0.330
64,10.0.0.1,712,128,0.340
64,10.0.0.1,713,128,0.374
64,10.0.0.1,714,128,0.337
64,10.0.0.1,715,128,0.286
64,10.0.0.1,716,128,0.325
64,10.0.0.1,717,128,0.334
64,10.0.0.1,718,128,0.315
64,10.0.0.1,719,128,0.346
64,10.0.0.1,720,128,0.328
64,10.0.0.1,721,128,0.344
64,10.0.0.1,722,128,0.332
64,10.0.0.1,723,128,0.341
64,10.0.0.1,724,128,0.331
64,10.0.0.1,725,128,0.365
64,10.0.0.1,726,128,0.336
64,10.0.0.1,727,128,0.339
64,10.0.0.1,728,128,0.337
64,10.0.0.1,729,128,0.353
64,10.0.0.1,730,128,0.332
64,10.0.0.1,731,128,0.337
64,10.0.0.1,732,128,0.327
64,10.0.0.1,733,128,0.354
64,10.0.0.1,734,128,0.334
64,10.0.0.1,735,128,0.333
64,10.0.0.1,736,128,0.335
64,10.0.0.1,737,128,0.338
64,10.0.0.1,738,128,0.327
64,10.0.0.1,739,128,0.331
64,10.0.0.1,740,128,0.325
64,10.0.0.1,741,128,0.355
64,10.0.0.1,742,128,0.312
64,10.0.0.1,743,128,0.351
64,10.0.0.1,744,128,0.362
64,10.0.0.1,745,128,0.331
64,10.0.0.1,746,128,0.330
64,10.0.0.1,747,128,0.334
64,10.0.0.1,748,128,0.339
64,10.0.0.1,749,128,0.347
64,10.0.0.1,750,128,0.483
64,10.0.0.1,751,128,0.883
64,10.0.0.1,752,128,0.354
64,10.0.0.1,753,128,0.332
64,10.0.0.1,754,128,0.695
64,10.0.0.1,755,128,0.337
64,10.0.0.1,756,128,0.346
64,10.0.0.1,757,128,0.492
64,10.0.0.1,758,128,0.332
64,10.0.0.1,759,128,0.333
64,10.0.0.1,760,128,0.353
64,10.0.0.1,761,128,0.326
64,10.0.0.1,762,128,0.336
